challenge	precursor
Chellenge 1 MSMS.txt	466.209
Chellenge 2 MSMS.txt	464.2274
Chellenge 3 MSMS.txt	369.1805
Chellenge 4 MSMS.txt	579.1515
Chellenge 5 MSMS.txt	353.1852
Chellenge 6 MSMS.txt	393.207
Chellenge 7 MSMS.txt	269.0816
Chellenge 8 MSMS.txt	301.072
Chellenge 9 MSMS.txt	363.182
Chellenge 10 MSMS.txt	283.0615
Chellenge 11 MSMS.txt	339.1236
Chellenge 12 MSMS.txt	255.077
Chellenge 13 MSMS.txt	328.192
Chellenge 14 MSMS.txt	343.1541
Chellenge 15 MSMS.txt	231.149
Chellenge 16 MSMS.txt	236.1655
Chellenge 17 MSMS.txt	395.1501
Chellenge 18 MSMS.txt	266.0897
Chellenge 19 MSMS.txt	577.1339
Chellenge 20 MSMS.txt	466.264
